4 bds5 ba2,388 sqft
7 bds13 ba20,708 sqft
7 bds8 ba11,264 sqft
5 bds8 ba6,500 sqft
4 bds4 ba3,840 sqft
3 bds3 ba3,248 sqft
4 bds6 ba6,408 sqft
5 bds5 ba4,765 sqft
4 bds6 ba5,663 sqft
5 bds5 ba5,460 sqft
4 bds6 ba5,366 sqft
Studio-- ba1,818 sqft
2 bds2 ba1,465 sqft
3 bds3 ba2,010 sqft
7 bds10 ba8,202 sqft
5 bds5 ba5,200 sqft
5 bds4 ba4,779 sqft
5 bds4 ba3,358 sqft
3 bds2 ba2,500 sqft
5 bds5 ba5,289 sqft
5 bds8 ba7,839 sqft
2 bds2 ba2,003 sqft
6 bds10 ba14,591 sqft
2 bds4 ba2,319 sqft
6 bds7 ba6,524 sqft
4 bds4 ba2,866 sqft
3 bds4 ba3,111 sqft
5 bds5 ba5,230 sqft
4 bds4 ba3,227 sqft
5 bds4 ba4,302 sqft
6 bds4 ba4,270 sqft
1.75 acres lot
4 bds5 ba4,084 sqft
4 bds4 ba3,317 sqft
5 bds7 ba5,940 sqft
4 bds3 ba2,181 sqft
6 bds5 ba6,722 sqft
4 bds6 ba5,003 sqft
2 bds3 ba3,027 sqft
5 bds6 ba6,655 sqft
4 bds4 ba2,502 sqft
