id,bedrooms,bathrooms,sqft,latitude,longitude,cat,dog,parking,cooling,heating,zestimate,type,laundry,price
29414266.0,2.0,1.0,720.0,30.332284,-97.735698,1,1,1.0,Central,Forced air,1850.0,Single Family,Contact manager,1850
2132254138.0,3.0,3.0,1853.0,,,1,1,2.0,Central,Forced air,2100.0,Multi Family,Contact manager,2350
29503728.0,3.0,2.0,1650.0,30.183107,-97.80592,0,0,1.0,Other,Forced air,1780.0,Single Family,In Unit,1695
29350980.0,4.0,4.0,2272.0,30.335718,-97.969571,1,1,,Central,Forced air,1800.0,Condo,In Unit,2800
29340523.0,3.0,3.0,3790.0,,,1,1,3.0,Central,Forced air,2600.0,Single Family,In Unit,12000
70343377.0,4.0,2.0,2697.0,30.197069,-97.74894300000001,1,1,2.0,Other,Forced air,1795.0,Single Family,Contact manager,1795
58306427.0,3.0,2.0,1361.0,30.417333000000003,-97.717939,0,0,2.0,Other,Forced air,1800.0,Single Family,In Unit,1725
29402959.0,2.0,1.0,964.0,30.313778999999997,-97.750574,1,1,1.0,Other,Forced air,2400.0,Single Family,In Unit,2450
58304657.0,3.0,2.0,1752.0,30.412694000000002,-97.731196,1,0,1.0,Central,Forced air,1895.0,Single Family,Contact manager,1895
64785928.0,7.0,5.0,3433.0,30.359219,-97.9512,0,0,2.0,Central,,650002.0,Single Family,,599900
2111721017.0,2.0,2.0,1450.0,30.44308,-97.672825,1,1,1.0,Other,Forced air,1850.0,Apartment,In Unit,1650
2087168656.0,2.0,1.0,1764.0,30.200678000000003,-97.783837,0,0,1.0,Central,Forced air,1320.0,Multi Family,Contact manager,1250
29384174.0,4.0,2.0,2117.0,30.257737,-97.57639300000001,0,0,,Central,Forced air,1575.0,Single Family,Contact manager,1500
29433311.0,3.0,2.0,1079.0,,,1,1,2.0,Central,Forced air,1600.0,Single Family,Contact manager,1600
29373138.0,5.0,4.0,3614.0,,,1,1,2.0,Other,Forced air,2800.0,Single Family,In Unit,2800
70346287.0,3.0,2.0,1385.0,30.158484,-97.834745,0,0,2.0,Other,Forced air,1650.0,Single Family,In Unit,1675
29435379.0,1.0,1.0,565.0,30.395033,-97.66986899999999,1,1,,Central,Forced air,964.0,Condo,In Unit,1150
2089714782.0,3.0,2.0,2005.0,30.246209999999998,-97.829769,1,1,,Other,Forced air,,Single Family,In Unit,2800
29349269.0,4.0,3.0,2962.0,,,1,1,2.0,Central,Forced air,4200.0,Single Family,In Unit,2900
29343690.0,3.0,2.0,1896.0,30.338006,-97.866908,1,1,2.0,Central,Forced air,2600.0,Single Family,In Unit,2795
