"1002 Arcadia Ave, Austin, TX 78757","1.0","2.0","$1,900/mo","1,050","https://www.zillow.com/homedetails/1002-Arcadia-Ave-Austin-TX-78757/29413301_zpid","29413301","$1,800/mo","Single Family","Other","Forced air","Cats, small dogs","In Unit, Shared","1 space","NA","$2","NA","NA","30.339071","-97.723009"
"10500 S Interstate Highway 35, Austin, TX 78748","NA","NA","NA","NA","https://www.zillow.com/b/lenox-springs-austin-tx-BCNrK3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.148565","-97.795569"
"Deerfield Dr, Austin, TX 78741","3.0","4.0","$3,500/mo","2,272","https://www.zillow.com/homedetails/Deerfield-Dr-Austin-TX-78741/2080345233_zpid","2080345233","NA","Single Family","Central","Forced air","Cats, small dogs","In Unit","2 spaces","NA","$2","NA","NA","30.236403","-97.732753"
"119 Betula Dr, Lakeway, TX 78734","2.0","3.0","$2,550/mo","2,000","https://www.zillow.com/homedetails/119-Betula-Dr-Lakeway-TX-78734/144194468_zpid","144194468","$2,300/mo","Single Family","Other","Forced air","Cats, large dogs, small dogs","In Unit","2 spaces","NA","$1","1  (Car-Dependent)","0  (No Nearby Transit)","30.379577","-97.970268"
"708 W 8th St APT B, Austin, TX 78701","1.0","2.0","$1,600/mo","1,004","https://www.zillow.com/homedetails/708-W-8th-St-APT-B-Austin-TX-78701/2086486170_zpid","2086486170","$1,550/mo","Apartment","Contact manager","Contact manager","Cats, small dogs","Contact manager","Off street","NA","$2","NA","NA","30.270564","-97.749004"
"1312 Cometa St #A, Austin, TX 78721","2.0","3.0","$2,200/mo","1,250","https://www.zillow.com/homedetails/1312-Cometa-St-A-Austin-TX-78721/2103605432_zpid","2103605432","$1,940/mo","Apartment","Other","Forced air","Cats, small dogs","In Unit","2 spaces","NA","$2","NA","NA","30.282448","-97.692856"
"102 Confidence Cv, Lakeway, TX 78734","3.0","4.0","$3,000/mo","3,180","https://www.zillow.com/homedetails/102-Confidence-Cv-Lakeway-TX-78734/58298207_zpid","58298207","$2,900/mo","Single Family","Central","Forced air","Cats, small dogs","Contact manager","2 spaces","NA","$1","30  (Car-Dependent)","0  (No Nearby Transit)","30.358745","-97.962964"
"6605 Beauford Dr, Austin, TX 78750","2.0","3.0","$3,800/mo","2,461","https://www.zillow.com/homedetails/6605-Beauford-Dr-Austin-TX-78750/58298755_zpid","58298755","$2,600/mo","Single Family","Central","Forced air","Cats, small dogs","In Unit","2 spaces","NA","$2","NA","NA","30.376687","-97.796981"
"9000 Bird Brook Ln, Austin, TX 78747","2.0","3.0","$1,775/mo","2,068","https://www.zillow.com/homedetails/9000-Bird-Brook-Ln-Austin-TX-78747/70342485_zpid","70342485","$1,795/mo","Single Family","Other","Forced air","No","In Unit","2 spaces","NA","$1","NA","NA","30.147643","-97.743098"
"409 Blackson Ave #A, Austin, TX 78752","1.0","2.0","$1,550/mo","870","https://www.zillow.com/homedetails/409-Blackson-Ave-A-Austin-TX-78752/2088233967_zpid","2088233967","$1,419/mo","Multi Family","Central","Forced air","Contact manager","Contact manager","1 space","NA","$2","NA","NA","30.335223","-97.708009"
"1520 Payton Falls DrAustin, TX 78754","NA","NA","NA","NA","https://www.zillow.com/homedetails/1520-Payton-Falls-Dr-Austin-TX-78754/58302385_zpid","58302385","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.372843","-97.659556"
"Magnolia Mound Trl, Austin, TX 78727","2.0","2.0","$2,500/mo","1,034","https://www.zillow.com/homedetails/Magnolia-Mound-Trl-Austin-TX-78727/2080982785_zpid","2080982785","NA","Single Family","Other","Forced air","No","In Unit","Off street, Detached Garage","NA","$2","NA","NA","30.439402","-97.74349"
"1200 E 52nd St, Austin, TX 78723","NA","NA","NA","NA","https://www.zillow.com/b/1200-east-52nd-street-205a-austin-tx-5jCYmL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.309724","-97.707385"
"300 W 46th St, Austin, TX 78751","2.0","2.0","$2,000/mo","1,000","https://www.zillow.com/homedetails/300-W-46th-St-Austin-TX-78751/2080270766_zpid","2080270766","NA","Single Family","Other","Forced air","No","In Unit","Off street","NA","$2","NA","NA","30.311062","-97.72892"
"1700 Pasadena Dr, Austin, TX 78757","1.0","3.0","$1,800/mo","1,000","https://www.zillow.com/homedetails/1700-Pasadena-Dr-Austin-TX-78757/29419038_zpid","29419038","$1,800/mo","Single Family","Other","Forced air","No","In Unit","1 space","NA","$2","NA","NA","30.345947","-97.727339"
"7518 Carver Ave #A, Austin, TX 78752","2.0","3.0","$3,000/mo","2,128","https://www.zillow.com/homedetails/7518-Carver-Ave-A-Austin-TX-78752/145653280_zpid","145653280","$2,150/mo","Apartment","Other","Forced air","No","In Unit","2 spaces","NA","$1","NA","NA","NA","NA"
"615 W 7th St, Austin, TX 78701","NA","NA","NA","NA","https://www.zillow.com/b/seven-austin-tx-5jJFL9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.270564","-97.749005"
"1717 W 35th St APT 102, Austin, TX 78703","1.0","1.0","$1,195/mo","610","https://www.zillow.com/homedetails/1717-W-35th-St-APT-102-Austin-TX-78703/2118492553_zpid","2118492553","$1,650/mo","Apartment","Central","Forced air","Cats, small dogs","In Unit","No Data","NA","$2","NA","NA","30.308874","-97.746716"
"11512 Tin Cup Dr #101, Austin, TX 78750","2.0","3.0","$2,100/mo","2,149","https://www.zillow.com/homedetails/11512-Tin-Cup-Dr-101-Austin-TX-78750/29377317_zpid","29377317","$1,825/mo","Apartment","Central","Forced air","Contact manager","Contact manager","2 spaces","NA","$1","NA","NA","NA","NA"
"4711 Bull Creek Rd, Austin, TX 78731","1.0","2.0","$1,825/mo","800","https://www.zillow.com/homedetails/4711-Bull-Creek-Rd-Austin-TX-78731/29410349_zpid","29410349","$1,630/mo","Apartment","Other","Forced air","Cats, small dogs","In Unit","1 space","NA","$2","NA","NA","30.319267","-97.755076"
"5417 Gooding Dr, Austin, TX 78744","2.0","3.0","$1,750/mo","1,462","https://www.zillow.com/homedetails/5417-Gooding-Dr-Austin-TX-78744/145551619_zpid","145551619","$1,785/mo","Single Family","Central","Forced air","Cats, small dogs","Contact manager","2 spaces","NA","$1","NA","NA","30.171103","-97.697749"
"10316 Alfred St, Austin, TX 78748","2.0","3.0","$2,100/mo","1,826","https://www.zillow.com/homedetails/10316-Alfred-St-Austin-TX-78748/60135572_zpid","60135572","$1,850/mo","Single Family","Other","Forced air","Small dogs","In Unit","1 space","NA","$1","NA","NA","30.169227","-97.835748"
"601 Theresa Ave, Austin, TX 78703","1.0","3.0","$4,100/mo","1,308","https://www.zillow.com/homedetails/601-Theresa-Ave-Austin-TX-78703/29329277_zpid","29329277","$2,450/mo","Single Family","Central","Forced air","Small dogs","In Unit","1 space","NA","$3","NA","NA","30.279498","-97.771457"
"W 7th St, Austin, TX 78701","1.0","1.0","$2,200/mo","610","https://www.zillow.com/homedetails/W-7th-St-Austin-TX-78701/2095145842_zpid","2095145842","NA","Condo","Other","Forced air","Cats, small dogs","Shared","Off street, Detached Garage","NA","$4","NA","NA","30.27004","-97.74763"
"9323 Manchaca Rd, Austin, TX 78748","NA","NA","NA","NA","https://www.zillow.com/b/the-atlantic-grand-oaks-austin-tx-5Xht2v","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.143568","-97.76855"
"E 31st St, Austin, TX 78705","1.0","1.0","$1,100/mo","520","https://www.zillow.com/homedetails/E-31st-St-Austin-TX-78705/2093636667_zpid","2093636667","NA","Single Family","Central","Forced air","No","Contact manager","No Data","NA","$2","NA","NA","30.29056","-97.732758"
"2102 Rountree Dr #B, Austin, TX 78722","1.0","1.0","$1,950/mo","795","https://www.zillow.com/homedetails/2102-Rountree-Dr-B-Austin-TX-78722/2080666637_zpid","2080666637","NA","Multi Family","Other","Forced air","Small dogs","In Unit","Off street","NA","$2","NA","NA","30.282427","-97.704682"
"1100 Meriden Ln, Austin, TX 78703","2.0","4.0","$5,500/mo","3,296","https://www.zillow.com/homedetails/1100-Meriden-Ln-Austin-TX-78703/29331607_zpid","29331607","$4,800/mo","Single Family","Central","Forced air","Cats, small dogs","In Unit","2 spaces","NA","$2","NA","NA","30.28765","-97.767761"
"2804 E 22nd St UNIT B, Austin, TX 78722","2.0","3.0","$4,400/mo","1,884","https://www.zillow.com/homedetails/2804-E-22nd-St-UNIT-B-Austin-TX-78722/305427589_zpid","305427589","$2,600/mo","Condo","Central","Forced air","Contact manager","In Unit","1 space","NA","$2","NA","NA","30.28094","-97.707762"
"6810 Deatonhill Dr APT 1204, Austin, TX 78745","2.0","2.0","$2,100/mo","1,051","https://www.zillow.com/homedetails/6810-Deatonhill-Dr-APT-1204-Austin-TX-78745/89549945_zpid","89549945","$1,591/mo","Condo","Central","Forced air","Cats, small dogs","In Unit","Off street","NA","$2","NA","NA","30.208715","-97.817274"
"225 W North Loop Blvd, Austin, TX 78751","NA","NA","NA","NA","https://www.zillow.com/b/225-w-north-loop-blvd-austin-tx-9T5hCG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.318697","-97.72473"
"1710 Morning Quail Dr, Austin, TX 78758","2.0","3.0","$1,600/mo","1,195","https://www.zillow.com/homedetails/1710-Morning-Quail-Dr-Austin-TX-78758/29435777_zpid","29435777","$1,600/mo","Single Family","Central","Forced air","Cats, small dogs","None","2 spaces","NA","$1","NA","NA","30.39535","-97.70139"
"4544 Page St UNIT B, Austin, TX 78723","2.0","3.0","$2,700/mo","1,646","https://www.zillow.com/homedetails/4544-Page-St-UNIT-B-Austin-TX-78723/2080444356_zpid","2080444356","NA","Townhouse","Other","Forced air","No","In Unit","Off street","NA","$2","NA","NA","30.294131","-97.703622"
"3000 Northeast Dr, Austin, TX 78723","2.0","3.0","$2,150/mo","1,713","https://www.zillow.com/homedetails/3000-Northeast-Dr-Austin-TX-78723/29407401_zpid","29407401","$2,075/mo","Single Family","Central","Forced air","Cats, small dogs","In Unit","2 spaces","NA","$1","NA","NA","30.316356","-97.674599"
"3900 Coffee Bean Cv, Austin, TX 78728","2.0","4.0","$1,900/mo","2,145","https://www.zillow.com/homedetails/3900-Coffee-Bean-Cv-Austin-TX-78728/29455603_zpid","29455603","$1,900/mo","Single Family","Central","Forced air","Cats, small dogs","In Unit","2 spaces","NA","$1","NA","NA","30.44308","-97.672825"
"1717 Toomey Rd, Austin, TX 78704","NA","NA","NA","NA","https://www.zillow.com/b/coldwater-austin-tx-5Yy9Q6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.264399","-97.762182"
"2101 Burton Dr, Austin, TX 78741","NA","NA","NA","NA","https://www.zillow.com/b/array-austin-tx-5Xht6V","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.232457","-97.731322"
"4407 Duval St APT B, Austin, TX 78751","1.0","2.0","$1,995/mo","2,092","https://www.zillow.com/homedetails/4407-Duval-St-APT-B-Austin-TX-78751/2100855352_zpid","2100855352","$1,595/mo","Multi Family","Other","Forced air","Contact manager","Shared","Off street","NA","$1","NA","NA","30.309222","-97.723434"
"Rainy Meadows Dr, Austin, TX 78758","2.0","3.0","$1,675/mo","--","https://www.zillow.com/homedetails/Rainy-Meadows-Dr-Austin-TX-78758/2080301814_zpid","2080301814","NA","Single Family","Other","Forced air","Cats, small dogs","In Unit","Detached Garage","NA","Contact manager","NA","NA","30.394407","-97.70104"
"1311 Exposition Blvd APT 5, Austin, TX 78703","1.0","2.0","$2,100/mo","647","https://www.zillow.com/homedetails/1311-Exposition-Blvd-APT-5-Austin-TX-78703/29332323_zpid","29332323","$1,400/mo","Condo","Central","Forced air","Cats, small dogs","Contact manager","No Data","NA","$3","NA","NA","30.288542","-97.771942"
"3211 Mossrock Dr #A, Austin, TX 78757","1.0","2.0","$1,695/mo","1,495","https://www.zillow.com/homedetails/3211-Mossrock-Dr-A-Austin-TX-78757/2080774313_zpid","2080774313","NA","Apartment","Other","Forced air","Small dogs","In Unit","No Data","NA","$1","NA","NA","30.371573","-97.737135"
"6701 Burnet Rd, Austin, TX 78757","NA","NA","NA","NA","https://www.zillow.com/b/marq-on-burnet-austin-tx-5Yy63M","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.342298","-97.737952"
"8600 N Fm 620 Rd, Austin, TX 78726","NA","NA","NA","NA","https://www.zillow.com/b/the-verandah-at-grandview-hills-austin-tx-9gpMtz","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.426536","-97.847266"
"6212 Seville Dr, Austin, TX 78724","2.0","3.0","$1,695/mo","1,571","https://www.zillow.com/homedetails/6212-Seville-Dr-Austin-TX-78724/70326846_zpid","70326846","$1,750/mo","Single Family","Other","Forced air, Other","Cats, large dogs, small dogs","Contact manager","1 space","NA","$1","NA","NA","30.293043","-97.642674"
"3214 Barton View Dr, Austin, TX 78735","2.0","2.0","$2,100/mo","1,053","https://www.zillow.com/homedetails/3214-Barton-View-Dr-Austin-TX-78735/58312557_zpid","58312557","$1,690/mo","Single Family","Other","Forced air","Cats, small dogs","In Unit","1 space","NA","$2","NA","NA","30.235159","-97.807904"
"105 W 38 1/2 St #109, Austin, TX 78751","1.0","1.0","$925/mo","565","https://www.zillow.com/homedetails/105-W-38-1-2-St-109-Austin-TX-78751/2080370406_zpid","2080370406","NA","Condo","Central","Forced air","Cats, small dogs","In Unit","No Data","NA","$2","NA","NA","30.309099","-97.728456"
"1701 Alguno Rd, Austin, TX 78757","1.0","2.0","$1,850/mo","720","https://www.zillow.com/homedetails/1701-Alguno-Rd-Austin-TX-78757/29414266_zpid","29414266","$1,850/mo","Single Family","Central","Forced air","Cats, small dogs","Contact manager","1 space","NA","$3","NA","NA","30.332284","-97.735698"
"6702 Ohenry Cv #A, Austin, TX 78731","3.0","3.0","$2,350/mo","1,853","https://www.zillow.com/homedetails/6702-Ohenry-Cv-A-Austin-TX-78731/2132254138_zpid","2132254138","$2,100/mo","Multi Family","Central","Forced air","Cats, small dogs","Contact manager","2 spaces","NA","$1","NA","NA","NA","NA"
"1100 Tetbury Ln, Austin, TX 78748","2.0","3.0","$1,695/mo","1,650","https://www.zillow.com/homedetails/1100-Tetbury-Ln-Austin-TX-78748/29503728_zpid","29503728","$1,780/mo","Single Family","Other","Forced air","No","In Unit","1 space","NA","$1","NA","NA","30.183107","-97.80592"
"156 World Of Tennis Sq, Lakeway, TX 78738","4.0","4.0","$2,800/mo","2,272","https://www.zillow.com/homedetails/156-World-Of-Tennis-Sq-Lakeway-TX-78738/29350980_zpid","29350980","$1,800/mo","Condo","Central","Forced air","Cats, small dogs","In Unit","Off street","NA","$1","8  (Car-Dependent)","0  (No Nearby Transit)","30.335718","-97.969571"
