"1212 Guadalupe St APT 209, Austin, TX 78701","{'/showPropertyInfo.do?account=02080110130001', '/showPropertyInfo.do?account=02080110130009', '/showPropertyInfo.do?account=02080110130004', '/showPropertyInfo.do?account=02080110130005', '/showPropertyInfo.do?account=02080110130008', '/showPropertyInfo.do?account=02080110130007', '/showPropertyInfo.do?account=02080110130000', '/showPropertyInfo.do?account=02080110130002', '/showPropertyInfo.do?account=02080110130006', '/showPropertyInfo.do?account=02080110130003'}"
"507 Sabine St APT 808, Austin, TX 78701","{'/showPropertyInfo.do?account=02060422100000', '/showPropertyInfo.do?account=02060422050000', '/showPropertyInfo.do?account=02060422070000', '/showPropertyInfo.do?account=02060422090000', '/showPropertyInfo.do?account=02060422110000', '/showPropertyInfo.do?account=02060422040000', '/showPropertyInfo.do?account=02060422020000', '/showPropertyInfo.do?account=02060422080000', '/showPropertyInfo.do?account=02060422060000', '/showPropertyInfo.do?account=02060422030000'}"
"40 N Interstate 35 APT 2D1, Austin, TX 78701","{'/showPropertyInfo.do?account=90534400000000', '/showPropertyInfo.do?account=03242001150202', '/showPropertyInfo.do?account=05176703420201', '/showPropertyInfo.do?account=05175701070201'}"
"1800 Lavaca St # A-606, Austin, TX 78701","{'/showPropertyInfo.do?account=02100224110003', '/showPropertyInfo.do?account=02100224110006', '/showPropertyInfo.do?account=02100224110001', '/showPropertyInfo.do?account=02100224110002', '/showPropertyInfo.do?account=02100224110007', '/showPropertyInfo.do?account=02100224110009', '/showPropertyInfo.do?account=02100224110008', '/showPropertyInfo.do?account=02100224110005', '/showPropertyInfo.do?account=02100224110000', '/showPropertyInfo.do?account=02100224110004'}"
"200 Congress Ave UNIT 50T, Austin, TX 78701","{'/showPropertyInfo.do?account=04050305100220', '/showPropertyInfo.do?account=04050305100222', '/showPropertyInfo.do?account=04050305100225', '/showPropertyInfo.do?account=04050305100227', '/showPropertyInfo.do?account=04050305100224', '/showPropertyInfo.do?account=04050305100229', '/showPropertyInfo.do?account=04050305100216', '/showPropertyInfo.do?account=04050305100206', '/showPropertyInfo.do?account=04050305100228', '/showPropertyInfo.do?account=04050305100203'}"
"555 E 5th St APT 912, Austin, TX 78701","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"603 Davis St APT 1204, Austin, TX 78701","{'/showPropertyInfo.do?account=02030315170000', '/showPropertyInfo.do?account=02030315180000', '/showPropertyInfo.do?account=02030315220000', '/showPropertyInfo.do?account=02030315240000', '/showPropertyInfo.do?account=02030315230000', '/showPropertyInfo.do?account=02030315250000', '/showPropertyInfo.do?account=02030315200000', '/showPropertyInfo.do?account=02030315190000', '/showPropertyInfo.do?account=02030315210000', '/showPropertyInfo.do?account=02030315160000'}"
"70 Rainey St APT 2807, Austin, TX 78701","{'/showPropertyInfo.do?account=02030318040000', '/showPropertyInfo.do?account=02030319040000', '/showPropertyInfo.do?account=02030319070000', '/showPropertyInfo.do?account=02030319080000', '/showPropertyInfo.do?account=02030319030000', '/showPropertyInfo.do?account=02030319060000', '/showPropertyInfo.do?account=02030319050000', '/showPropertyInfo.do?account=02030318030000', '/showPropertyInfo.do?account=02030319010000', '/showPropertyInfo.do?account=02030319020000'}"
"360 Nueces St APT 1003, Austin, TX 78701","{'/showPropertyInfo.do?account=01070025080000', '/showPropertyInfo.do?account=01070025110000', '/showPropertyInfo.do?account=01070025050000', '/showPropertyInfo.do?account=01070025100000', '/showPropertyInfo.do?account=01070025090000', '/showPropertyInfo.do?account=01070025030000', '/showPropertyInfo.do?account=01070025020000', '/showPropertyInfo.do?account=01070025040000', '/showPropertyInfo.do?account=01070025070000', '/showPropertyInfo.do?account=01070025060000'}"
"908 Nueces St UNIT 13, Austin, TX 78701","{'/showPropertyInfo.do?account=02080022020000', '/showPropertyInfo.do?account=02080022100000', '/showPropertyInfo.do?account=02080022050000', '/showPropertyInfo.do?account=02080022110000', '/showPropertyInfo.do?account=02080022040000', '/showPropertyInfo.do?account=02080022070000', '/showPropertyInfo.do?account=02080022060000', '/showPropertyInfo.do?account=02080022090000', '/showPropertyInfo.do?account=02080022080000', '/showPropertyInfo.do?account=02080022030000'}"
